# This file contains the absolute magnitudes for the ZAMS using blackbody assumptions and interpolated spectra.
# The ZAMS is based on MESA single star models with Z=0.002
# I have used Kurucz models from the grid/data002/ygoetberg/spectral_libraries/Kurucz/gridm10odfnew/coubesm10k2odfnew.dat to model the spectra of the ZAMS.
Minit	UVW2_BB 	 UVW2_spec	UVM2_BB 	 UVM2_spec	UVW1_BB 	 UVW1_spec	U_BB 	 U_spec	B_BB 	 B_spec	V_BB 	 V_spec	R_BB 	 R_spec	I_BB 	 I_spec	J_BB 	 J_spec	H_BB 	 H_spec	Ks_BB 	 Ks_spec
18.17	-7.692473073556587	-7.742978177230787	-7.108435428643371	-7.104713749315691	-7.621317630112552	-7.602614799915386	-6.778338327532916	-6.633389225602265	-6.110131083591181	-6.0023536157412405	-5.6411593218788045	-5.503868986812948	-5.9175313742609035	-5.7499495643188965	-5.513666566467999	-5.31669628476245	-6.708478547955665	-5.629057958358087	-6.95540890189684	-4.653263280105374	-7.821559704409915	-4.305048246662505
20.09	-7.9103457490594415	-7.941849289134256	-7.318922837380731	-7.301019186220101	-7.82789670768233	-7.799645997234737	-6.969140423461595	-6.825610663400416	-6.29584902119875	-6.186061817186167	-5.822122119372555	-5.684866229583733	-6.096064919354276	-5.930945862126187	-5.689152499473366	-5.498832502252716	-6.881624545469971	-5.811561122494259	-7.128554899411145	-4.836606790160789	-7.994705701924221	-4.488152387103991
22.21	-8.123161987237483	 - 	-7.525052580243333	 - 	-8.030533628310817	 - 	-7.157483503208194	 - 	-6.479594890873495	 - 	-6.00156277429508	 - 	-6.273304898304141	 - 	-5.863628727936611	 - 	-7.053976927804668	 - 	-7.300907281745842	 - 	-8.167058084258919	 - 
24.55	-8.328519351603441	 - 	-7.7241823756997725	 - 	-8.226448859976594	 - 	-7.340075547850459	 - 	-6.657909122484083	 - 	-6.175866030266212	 - 	-6.445556727159836	 - 	-6.033301708933933	 - 	-7.2216665224240115	 - 	-7.4685968763651855	 - 	-8.334747678878262	 - 
27.14	-8.527598323802549	 - 	-7.917524228790425	 - 	-8.416861764594932	 - 	-7.518203880070361	 - 	-6.832098883591435	 - 	-6.346358606086968	 - 	-6.614157325351416	 - 	-6.199521693779682	 - 	-7.38605415400229	 - 	-7.632984507943465	 - 	-8.49913531045654	 - 
30.01	-8.721514558619631	 - 	-8.106209665180776	 - 	-8.602903530068481	 - 	-7.693034914071574	 - 	-7.003340133229691	 - 	-6.514226387309861	 - 	-6.780297874661074	 - 	-6.36348703930887	 - 	-7.548344026332206	 - 	-7.795274380273379	 - 	-8.661425182786456	 - 
33.17	-8.910325832980558	 - 	-8.290235799928132	 - 	-8.78453334958465	 - 	-7.864399404882427	 - 	-7.17142107660716	 - 	-6.679218474144024	 - 	-6.943707657096106	 - 	-6.524902528688095	 - 	-7.708222345532276	 - 	-7.95515269947345	 - 	-8.821303501986526	 - 
36.67	-9.094025339518579	 - 	-8.469541824038778	 - 	-8.961657599915155	 - 	-8.032089440065176	 - 	-7.336096164158123	 - 	-6.841054641304219	 - 	-7.1040888567896046	 - 	-6.683448552258923	 - 	-7.8653529454123845	 - 	-8.11228329935356	 - 	-8.978434101866634	 - 
40.54	-9.273021432032074	 - 	-8.644508579809944	 - 	-9.134638746053573	 - 	-8.196409946474148	 - 	-7.497651096899485	 - 	-7.000003108616596	 - 	-7.261700884375641	 - 	-6.83937372775596	 - 	-8.01997632448509	 - 	-8.266906678426263	 - 	-9.133057480939339	 - 
44.82	-9.447541972049102	 - 	-8.81533217906005	 - 	-9.30365331600538	 - 	-8.357470722477816	 - 	-7.656173703171369	 - 	-7.156131540385923	 - 	-7.416601198441091	 - 	-6.992722906966527	 - 	-8.172127783280107	 - 	-8.419058137221283	 - 	-9.285208939734357	 - 
49.55	-9.61806232797417	 - 	-8.982471261863354	 - 	-9.469148446929081	 - 	-8.515684383578026	 - 	-7.812065057744259	 - 	-7.309830601077252	 - 	-7.569175242269278	 - 	-7.143875177964816	 - 	-8.322181658024562	 - 	-8.569112011965736	 - 	-9.435262814478811	 - 
54.78	-9.785264847693767	 - 	-9.146604832505306	 - 	-9.631798618284188	 - 	-8.671719677126186	 - 	-7.965991653024763	 - 	-7.461765088467884	 - 	-7.720087054327694	 - 	-7.293493836161705	 - 	-8.470800811283155	 - 	-8.717731165224329	 - 	-9.583881967737405	 - 
60.56	-9.949150956315885	 - 	-9.307698012093631	 - 	-9.791548956234402	 - 	-8.825444855545957	 - 	-8.117796898881348	 - 	-7.611755323459162	 - 	-7.869145200363022	 - 	-7.441372771449237	 - 	-8.617767912883663	 - 	-8.864698266824838	 - 	-9.730849069337912	 - 
66.95	-10.109736672922303	 - 	-9.465730895475891	 - 	-9.948360345627984	 - 	-8.976744481228456	 - 	-8.267340785722038	 - 	-7.759638376786637	 - 	-8.016175061313792	 - 	-7.587322728253238	 - 	-8.762882489503752	 - 	-9.009812843444927	 - 	-9.875963645958002	 - 
74.01	-10.267109128254141	 - 	-9.620761724532409	 - 	-10.102275669596972	 - 	-9.125600060034088	 - 	-8.41458507957679	 - 	-7.90535759327864	 - 	-8.161110584761346	 - 	-7.73126588331764	 - 	-8.906057693465916	 - 	-9.15298804740709	 - 	-10.019138849920166	 - 
81.82	-10.421944247841795	 - 	-9.773470827270437	 - 	-10.253976038988139	 - 	-9.272703133553762	 - 	-8.560224493839062	 - 	-8.049610910327974	 - 	-8.304651423556367	 - 	-7.8739041700698245	 - 	-9.047997294411486	 - 	-9.29492764835266	 - 	-10.161078450865734	 - 
90.46	-10.573863748895398	 - 	-9.923430664066574	 - 	-10.403009473995246	 - 	-9.417495997944084	 - 	-8.70366755032334	 - 	-8.191775049887875	 - 	-8.446158003204308	 - 	-8.014577459863927	 - 	-9.188025311556103	 - 	-9.434955665497277	 - 	-10.301106468010353	 - 
100.0	-10.723042790016065	 - 	-10.070799933137566	 - 	-10.549526083480416	 - 	-9.56009376165577	 - 	-8.845018133951971	 - 	-8.331943404611623	 - 	-8.58571835969302	 - 	-8.153367069248311	 - 	-9.326217903572848	 - 	-9.573148257514024	 - 	-10.439299060027098	 - 
